"enumrtr","lga","ward","village","subvillage","under_18","HH_size","dogs","puppies","Land.Use","longitude","latitude","precision"
127,"Tarime TC","Nkende",74,184,0,2,2,0,"Built",34.4015598868958,-1.34100581258578,3.9
107,"Rorya DC","Bukwe",67,343,0,2,0,0,"Built",34.2219507722821,-1.31717521368503,3799.999
107,"Rorya DC","Bukwe",67,285,0,2,0,0,"Built",34.2219507722821,-1.31717521368503,3799.999
107,"Rorya DC","Bukwe",67,285,0,2,1,0,"Built",34.2219507722821,-1.31717521368503,3799.999
603,"Rorya DC","Raranya",68,190,0,2,1,0,"Built",34.0402520757112,-1.16093751533011,1000
134,"Rorya DC","Raranya",68,190,0,2,2,0,"Built",34.0372681351067,-1.1660862358841,2400
134,"Rorya DC","Raranya",68,190,0,2,0,0,"Built",34.0402520757112,-1.16144907381729,1399.999
109,"Rorya DC","Raranya",68,286,0,2,0,0,"Built",34.0372681351067,-1.16597140589334,1100
468,"Rorya DC","Raranya",68,286,0,2,1,0,"Built",34.037214929426,-1.16003456821658,2599.999
101,"Musoma MC","Kigera",28,41,0,2,0,0,"Built",33.7958748518811,-1.51925381868259,3.9
101,"Musoma MC","Kigera",28,41,0,2,0,0,"Built",33.7982205749171,-1.52071762790452,3.9
101,"Musoma MC","Kigera",28,41,0,2,0,0,"Built",33.8001170107928,-1.52115984120719,3.9
101,"Musoma MC","Kigera",28,41,0,2,0,0,"Built",33.7997208552956,-1.51869203133872,3.9
101,"Musoma MC","Kigera",28,41,0,2,0,0,"Built",33.7986387559936,-1.51796414228798,3.9
101,"Musoma MC","Kigera",28,41,0,2,0,0,"Built",33.7986777434826,-1.51876053064832,3.9
101,"Musoma MC","Kigera",28,41,0,2,0,0,"Built",33.8004057363493,-1.51706266999714,3.9
85,"Tarime DC","Nyakonga",1,121,0,2,0,0,"Built",34.5719763584602,-1.35222176652022,6.15
78,"Rorya DC","Ikoma",56,43,0,2,1,0,"Built",34.2995184672157,-1.15992242969728,4.916
78,"Rorya DC","Ikoma",56,43,0,2,0,0,"Built",34.3013317598408,-1.16092013703142,4.76
78,"Rorya DC","Ikoma",56,43,0,2,0,0,"Built",34.3026440865296,-1.15874151211124,4.78
128,"Tarime DC","Manga",75,185,0,2,1,0,"Built",34.3774301657303,-1.35199598862422,3599.999
52,"Serengeti DC","Nyamantare",21,36,0,2,0,0,"Built",34.490067532841,-1.8181822422973,9.6
52,"Serengeti DC","Nyamantare",21,36,0,2,0,0,"Built",34.4896523890082,-1.81821561126572,8.034
52,"Serengeti DC","Nyamantare",21,36,0,2,0,0,"Built",34.4888957377128,-1.81672217224589,8.833
167,"Serengeti DC","Magange",87,237,0,2,1,0,"Built",34.3282025623318,-1.74826223850126,4.88
105,"Butiama DC","Bukabwa",52,107,0,2,3,1,"Built",33.911164113022,-1.61386176276835,4.98
105,"Butiama DC","Bukabwa",52,210,0,2,2,0,"Built",33.9116193691072,-1.61527347407488,4.7
105,"Butiama DC","Bukabwa",52,210,0,2,3,0,"Built",33.9122515322107,-1.61476026721992,4.866
105,"Butiama DC","Bukabwa",52,99,0,2,1,0,"Built",33.9112393897714,-1.61417441000917,5
51,"Musoma DC","Nyakatende",41,69,0,2,1,0,"Built",33.6948222711306,-1.58309596151642,5
168,"Tarime TC","Bomani",6,276,0,2,0,0,"Built",34.3780815963968,-1.34502402849301,5.266
383,"Butiama DC","Muriaza",96,503,0,2,0,0,"Built",33.9826321339034,-1.71934663021223,4.466
134,"Rorya DC","Raranya",68,190,0,2,0,0,"Built",34.0402520757112,-1.16150504660311,1000
321,"Rorya DC","Raranya",68,286,0,2,0,0,"Built",34.1641030787328,-1.26864869588007,2299.999
109,"Rorya DC","Raranya",68,286,0,2,1,0,"Built",34.1641030787328,-1.26864869588007,2299.999
273,"Rorya DC","Koryo",59,128,0,2,2,0,"Built",34.2083211693236,-1.3157199134439,4.766
604,"Tarime TC","Bomani",6,238,0,2,2,0,"Built",34.3654006177457,-1.35451050937567,4.857
143,"Musoma MC","Kigera",28,41,0,2,0,0,"Built",33.8006494928701,-1.51917315131374,3.9
143,"Musoma MC","Kigera",28,41,0,2,0,0,"Built",33.8010183053883,-1.51854302037687,3.9
143,"Musoma MC","Kigera",28,41,0,2,0,0,"Built",33.7997002995722,-1.51938630749962,3.9
143,"Musoma MC","Kigera",28,41,0,2,0,0,"Built",33.7994262746079,-1.51991280137177,3.9
88,"Serengeti DC","Nyambureti",62,217,0,2,1,0,"Built",34.3372758829676,-1.82524907826684,4.6
109,"Rorya DC","Raranya",68,286,0,2,0,0,"Built",34.1641030787328,-1.26864869588007,2299.999
214,"Tarime TC","Nyamisangura",77,192,0,2,0,2,"Built",34.3671134022578,-1.34275974025162,3.9
214,"Tarime TC","Nyamisangura",77,192,0,2,1,0,"Built",34.3631121798468,-1.34283269978815,3.9
44,"Tarime DC","Nyarero",36,18,0,2,0,0,"Built",34.488667553085,-1.37325342367993,4.927
44,"Tarime DC","Nyarero",36,54,0,2,0,8,"Built",34.4828171418265,-1.37447175601638,4.75
101,"Musoma MC","Kigera",28,41,0,2,0,0,"Built",33.8015091861007,-1.51848779973443,3.9
127,"Tarime TC","Nkende",74,184,0,2,0,1,"Built",34.3992345605619,-1.34009122567895,4.413
295,"Tarime TC","Nkende",74,184,0,2,0,1,"Built",34.4006828473386,-1.33976410087788,4.5
295,"Tarime TC","Nkende",74,184,0,2,0,0,"Built",34.4008760585715,-1.33893263624568,4.778
127,"Tarime TC","Nkende",74,184,0,2,0,0,"Built",34.4010235805549,-1.33993014039313,4.096
127,"Tarime TC","Nkende",74,184,0,2,0,0,"Built",34.4039822044033,-1.33961601143386,4.9
127,"Tarime TC","Nkende",74,184,0,2,0,0,"Built",34.4039535307055,-1.33791801615363,4
127,"Tarime TC","Nkende",74,184,0,2,0,0,"Built",34.4063841277526,-1.33990821684982,4.571
127,"Tarime TC","Nkende",74,184,0,2,2,0,"Built",34.4056822269873,-1.33926707109582,4.7
127,"Tarime TC","Nkende",74,184,0,2,0,0,"Built",34.4050416703329,-1.33969597801783,4.522
127,"Tarime TC","Nkende",74,184,0,2,0,0,"Built",34.4044559185299,-1.33952917904989,3.785
159,"Serengeti DC","Rungabure",20,228,0,2,0,1,"Built",34.6073377795708,-1.73913171338331,4.675
159,"Serengeti DC","Rungabure",20,228,0,2,3,0,"Built",34.6103394789169,-1.73629331980278,4.583
27,"Tarime DC","Ganyange",23,33,0,2,0,0,"Built",34.5895824583208,-1.34549761050452,2799.999
127,"Tarime TC","Nkende",74,184,0,2,1,0,"Built",34.4007142339083,-1.34029057438354,4.95
127,"Tarime TC","Nkende",74,696,0,2,0,0,"Built",34.4003339841313,-1.33849157710392,4.6
27,"Tarime DC","Ganyange",23,229,0,2,1,0,"Built",34.5953159371784,-1.35071314293203,4099.999
30,"Bunda DC","Iramba",25,115,0,2,0,0,"Built",33.3881565295794,-1.98008767441295,4.98
118,"Tarime TC","Kenyamanyori",66,148,0,2,0,0,"Built",34.3899277268169,-1.37309655487149,4.68
101,"Musoma MC","Kigera",28,41,0,2,1,0,"Built",33.7928504771912,-1.52172804486236,3.9
85,"Tarime DC","Nyakonga",1,153,0,2,0,0,"Built",34.5605576112183,-1.3565144475473,6.6
85,"Tarime DC","Nyakonga",1,153,0,2,0,0,"Built",34.5612606347094,-1.35686924467172,8.52
85,"Tarime DC","Nyakonga",1,153,0,2,0,0,"Built",34.5615050293786,-1.3562553744068,8.12
85,"Tarime DC","Nyakonga",1,153,0,2,0,0,"Built",34.5672654895254,-1.35279589411923,4.983
85,"Tarime DC","Nyakonga",1,153,0,2,0,0,"Built",34.5592419731755,-1.35775435895417,8.3
85,"Tarime DC","Nyakonga",1,153,0,2,0,0,"Built",34.5523507973486,-1.35844001096549,8.5
118,"Tarime TC","Kenyamanyori",66,148,0,2,1,0,"Built",34.3879307162325,-1.38844615998009,4.68
63,"Bunda DC","Nansimo",47,194,0,2,0,0,"Built",33.3701582508524,-2.15590906101256,3200
63,"Bunda DC","Nansimo",47,194,0,2,0,0,"Built",33.5595852941486,-2.37917929204832,500
63,"Bunda DC","Nansimo",47,271,0,2,0,0,"Built",33.3749473248055,-2.15488558483655,3599.999
63,"Bunda DC","Nansimo",47,271,0,2,0,0,"Built",33.3701582508524,-2.15590906101256,3200
17,"Musoma DC","Etaro",15,39,0,2,0,0,"Built",33.7044570380176,-1.50461889244672,4.649
17,"Musoma DC","Etaro",15,39,0,2,0,0,"Built",33.7056177753996,-1.50372533622149,4.869
17,"Musoma DC","Etaro",15,23,0,2,0,0,"Built",33.7045906027505,-1.50337153315432,4.704
17,"Musoma DC","Etaro",15,23,0,2,0,0,"Built",33.7047085461815,-1.50415363183312,5
17,"Musoma DC","Etaro",15,23,0,2,1,0,"Built",33.7040245459654,-1.50311439394415,4.68
17,"Musoma DC","Etaro",15,23,0,2,1,0,"Built",33.7045988712146,-1.50457216754637,4.933
17,"Musoma DC","Etaro",15,23,0,2,0,0,"Built",33.7042880836167,-1.50418931055383,4.91
17,"Musoma DC","Etaro",15,23,0,2,2,0,"Built",33.7053762989984,-1.50339929159357,4.9
17,"Musoma DC","Etaro",15,23,0,2,0,0,"Built",33.7040185790893,-1.50412548134503,4.911
17,"Musoma DC","Etaro",15,50,0,2,0,0,"Built",33.70360445013,-1.50311547964123,4.55
17,"Musoma DC","Etaro",15,50,0,2,0,0,"Built",33.703500959431,-1.50239432068104,4.9
17,"Musoma DC","Etaro",15,50,0,2,0,0,"Built",33.7052768539872,-1.50447632125454,4.904
17,"Musoma DC","Etaro",15,50,0,2,3,0,"Built",33.7053296772087,-1.50367703843125,4.9
17,"Musoma DC","Etaro",15,50,0,2,0,0,"Built",33.7039982333183,-1.50328683388706,4.731
101,"Musoma MC","Kigera",28,41,0,2,0,0,"Built",33.7972596242993,-1.52062215061012,3.9
35,"Tarime DC","Mbogi",30,159,0,2,1,0,"Built",34.5620256726269,-1.30452883256741,4.85
52,"Serengeti DC","Nyamantare",21,30,0,2,1,0,"Built",34.4258386376621,-1.78565458769485,6.764
99,"Rorya DC","Koryo",59,128,0,2,0,0,"Built",34.2145222004741,-1.31553204074209,4.928
99,"Rorya DC","Koryo",59,117,0,2,0,0,"Built",34.2137231038262,-1.3158343249017,4.95
400,"Butiama DC","Buruma",55,697,0,2,0,0,"Built",33.8728789960492,-1.72913477759406,3.9
69,"Tarime DC","Sirari",8,86,0,2,0,0,"Built",34.4703240424235,-1.25366263761608,4.873
69,"Tarime DC","Sirari",8,86,0,2,1,0,"Built",34.4702226171539,-1.253239924477,4.47
69,"Tarime DC","Sirari",8,86,0,2,0,0,"Built",34.4700032255277,-1.25567476936471,3.9
69,"Tarime DC","Sirari",8,86,0,2,0,0,"Built",34.469050824676,-1.25446104093454,4.873
69,"Tarime DC","Sirari",8,86,0,2,0,0,"Built",34.4692472500182,-1.25573141910618,4.873
69,"Tarime DC","Sirari",8,86,0,2,1,0,"Built",34.4703502683919,-1.25420916691352,4.347
69,"Tarime DC","Sirari",8,86,0,2,0,1,"Built",34.4704412787951,-1.25365346946182,4.516
69,"Tarime DC","Sirari",8,86,0,2,0,0,"Built",34.4707329487885,-1.2544995126468,3.9
69,"Tarime DC","Sirari",8,86,0,2,1,0,"Built",34.4715661901882,-1.25308217532136,4.269
157,"Bunda DC","Nyamihyolo",78,18,0,2,0,0,"Built",33.5251037424084,-2.16197876475142,3.9
157,"Bunda DC","Nyamihyolo",78,195,0,2,0,0,"Built",33.5203031178072,-2.16156696453487,3.9
157,"Bunda DC","Nyamihyolo",78,195,0,2,0,0,"Built",33.5218371966236,-2.1613507931062,3.9
157,"Bunda DC","Nyamihyolo",78,18,0,2,0,0,"Built",33.5224243881528,-2.16123722170742,3.9
10,"Bunda TC","Kabasa",9,70,0,2,0,0,"Built",33.8146912607232,-1.97125141141513,4.22
10,"Bunda TC","Kabasa",9,70,0,2,0,0,"Built",33.8139327424551,-1.9709280246911,5
43,"Bunda TC","Kabasa",9,70,0,2,0,0,"Built",33.8138922806628,-1.97002867516291,4.42
10,"Bunda TC","Kabasa",9,70,0,2,0,0,"Built",33.8132977780177,-1.97276126434113,4.963
43,"Bunda TC","Kabasa",9,70,0,2,0,0,"Built",33.8143608763349,-1.9686387106344,4.56
43,"Bunda TC","Kabasa",9,70,0,2,0,0,"Built",33.8134902305023,-1.97048373676035,4.875
43,"Bunda TC","Kabasa",9,70,0,2,1,0,"Built",33.8134502349993,-1.96998891551655,4.94
50,"Tarime DC","Binagi",40,379,0,2,0,0,"Built",34.4540710839584,-1.37824281553305,4.75
49,"Serengeti DC","Busawe",39,64,0,2,0,0,"Built",34.4279728984083,-1.58356538073767,4.7
49,"Serengeti DC","Busawe",39,64,0,2,1,0,"Built",34.4279889388659,-1.58471801161429,4.9
149,"Bunda DC","Iramba",25,115,0,2,0,0,"Built",33.3864551789282,-1.98520934751797,4.68
12,"Bunda DC","Neruma",11,25,0,2,0,0,"Built",33.501516087309,-2.1597381949217,4.75
12,"Bunda DC","Neruma",11,25,0,2,0,0,"Built",33.4995099965108,-2.16034921393221,4.933
58,"Musoma DC","Suguti",44,74,0,2,0,0,"Built",33.6440951730472,-1.79203903232238,9.112
58,"Musoma DC","Suguti",44,74,0,2,0,0,"Built",33.6454335475177,-1.79737114221517,6.842
58,"Musoma DC","Suguti",44,74,0,2,0,0,"Built",33.645104312137,-1.79096717754215,5.874
13,"Musoma DC","Makojo",12,166,0,2,1,0,"Built",33.3943560499664,-1.89921683401987,4.883
73,"Butiama DC","Bukabwa",52,298,0,2,0,0,"Built",33.9130566943202,-1.61099687081245,4.858
73,"Butiama DC","Bukabwa",52,298,0,2,0,0,"Built",33.9136296206537,-1.61014361122822,4.762
105,"Butiama DC","Bukabwa",52,430,0,2,0,0,"Built",33.9110187078514,-1.6143915103457,4.916
105,"Butiama DC","Bukabwa",52,152,0,2,1,0,"Built",33.9114942202151,-1.61417135724988,4.982
105,"Butiama DC","Bukabwa",52,85,0,2,1,0,"Built",33.9123159607683,-1.61601492302422,4.83
105,"Butiama DC","Bukabwa",52,85,0,2,1,0,"Built",33.9108467044853,-1.61451067188764,4.941
96,"Musoma MC","Bweri",64,400,0,2,1,1,"Built",33.8407749187789,-1.53583837122714,4.82
34,"Butiama DC","Kukirango",29,103,0,2,0,0,"Built",33.8634176608946,-1.75235839676505,3.9
34,"Butiama DC","Kukirango",29,103,0,2,0,0,"Built",33.8637402926077,-1.75268972314309,3.9
34,"Butiama DC","Kukirango",29,42,0,2,0,0,"Built",33.8461202196226,-1.76201520435753,1.329
28,"Bunda DC","Kisorya",24,34,0,2,0,0,"Built",33.2101443227771,-2.10262965494047,4.854
190,"Musoma DC","bugwema",63,277,0,2,0,0,"Built",33.5983955419037,-1.94796740981705,4.8
190,"Musoma DC","bugwema",63,277,0,2,0,0,"Built",33.5982045360332,-1.9494069123684,5.25
190,"Musoma DC","bugwema",63,277,0,2,0,0,"Built",33.5987856412533,-1.94930117325779,4.9
107,"Rorya DC","Bukwe",67,154,0,2,0,0,"Built",34.2625274929093,-1.36912910454335,9.1
107,"Rorya DC","Bukwe",67,154,0,2,0,0,"Built",34.2625439529711,-1.37039724402507,11.2
605,"Bunda DC","Iramba",25,115,0,2,0,0,"Built",33.3881507582823,-1.98484967393065,4.45
30,"Bunda DC","Iramba",25,115,0,2,0,0,"Built",33.3867863047156,-1.98627179937234,3.9
257,"Rorya DC","Nyamagaro",93,362,0,2,0,0,"Built",34.011164977925,-1.15393474823172,4699.999
257,"Rorya DC","Nyamagaro",93,362,0,2,1,0,"Built",33.8877124478354,-1.22210096851886,3299.999
257,"Rorya DC","Nyamagaro",93,362,0,2,0,0,"Built",33.8877124478354,-1.22210096851886,3299.999
257,"Rorya DC","Nyamagaro",93,362,0,2,0,0,"Built",33.8877124478354,-1.22210096851886,3299.999
109,"Rorya DC","Raranya",68,241,0,2,2,1,"Built",34.037214929426,-1.16003456821658,2599.999
7,"Rorya DC","Kisumwa",7,459,0,2,1,0,"Built",34.1318287694658,-1.40465875198664,9.811
7,"Rorya DC","Kisumwa",7,459,0,2,0,0,"Built",34.1318882055297,-1.40647024361453,9.977
7,"Rorya DC","Kisumwa",7,459,0,2,1,0,"Built",34.1326457718706,-1.40520796903132,9.853
606,"Serengeti DC","Maji moto",13,242,0,2,4,0,"Built",34.3501872415538,-1.63216724068662,4.2
14,"Serengeti DC","Maji moto",13,20,0,2,6,0,"Built",34.3509291011796,-1.63220649826399,4.4
101,"Musoma MC","Kigera",28,41,0,2,0,0,"Built",33.8033072105843,-1.51828577659886,3.9
150,"Musoma DC","Nyamrandirira",61,25,0,2,1,0,"Built",33.5428717349707,-1.81781080823106,3.98
68,"Tarime DC","Regicheri",32,240,0,2,1,0,"Built",34.4328002199521,-1.28426383141745,4.78
69,"Tarime DC","Sirari",8,93,0,2,0,0,"Built",34.4723188409864,-1.25393920880069,3.93
69,"Tarime DC","Sirari",8,93,0,2,0,0,"Built",34.4732583432475,-1.25417999166468,4.288
69,"Tarime DC","Sirari",8,698,0,2,0,0,"Built",34.4726923589181,-1.25368992252434,4.502
149,"Bunda DC","Iramba",25,37,0,2,0,0,"Built",33.3905368473381,-1.97974130262248,4.933
30,"Bunda DC","Iramba",25,37,0,2,0,0,"Built",33.3913398177521,-1.97906071934439,4.9
36,"Bunda DC","Iramba",25,37,0,2,0,0,"Built",33.3932781203151,-1.97834822565953,4.1
36,"Bunda DC","Iramba",25,37,0,2,0,0,"Built",33.3942515716218,-1.9772720148371,4.7
50,"Tarime DC","Binagi",40,363,0,2,0,0,"Built",34.4619359001232,-1.37308811412438,5
50,"Tarime DC","Binagi",40,363,0,2,0,0,"Built",34.4637827564302,-1.37238990470643,4.58
50,"Tarime DC","Binagi",40,363,0,2,0,0,"Built",34.4644977613627,-1.37187956003943,5
50,"Tarime DC","Binagi",40,383,0,2,0,0,"Built",34.474510641859,-1.37466707765711,5
50,"Tarime DC","Binagi",40,313,0,2,0,0,"Built",34.4627758856776,-1.37250777961793,3.98
107,"Rorya DC","Bukwe",67,409,0,2,0,0,"Built",34.4628844045447,-1.25780312776777,2900
107,"Rorya DC","Bukwe",67,409,0,2,0,0,"Built",34.2469491249482,-1.34252127345032,7.45
107,"Rorya DC","Bukwe",67,409,0,2,0,0,"Built",34.4628844045447,-1.25780312776777,2900
85,"Tarime DC","Nyakonga",1,123,0,2,0,0,"Built",34.5599738579432,-1.35548395857269,5
85,"Tarime DC","Nyakonga",1,123,0,2,0,0,"Built",34.5615973407479,-1.35356640688476,5
85,"Tarime DC","Nyakonga",1,123,0,2,0,0,"Built",34.5604646553821,-1.35554387634263,4.916
85,"Tarime DC","Nyakonga",1,123,0,2,0,0,"Built",34.5634217597439,-1.35294737205686,4.4
85,"Tarime DC","Nyakonga",1,123,0,2,0,0,"Built",34.5648122624305,-1.35340769299837,4.2
85,"Tarime DC","Nyakonga",1,123,0,2,1,0,"Built",34.5646480939701,-1.35444398178229,4.7
141,"Rorya DC","Kinyenche",80,300,0,2,0,0,"Built",34.0499375573404,-1.26269071826164,4.75
141,"Rorya DC","Kinyenche",80,300,0,2,0,0,"Built",34.0502791870582,-1.26047515558095,5
85,"Tarime DC","Nyakonga",1,123,0,2,0,0,"Built",34.5616883782647,-1.35522877347261,5
141,"Rorya DC","Kinyenche",80,115,0,2,0,0,"Built",34.0503265637929,-1.26083893957692,3.9
141,"Rorya DC","Kinyenche",80,115,0,2,1,0,"Built",34.0505848500497,-1.26051056500383,4.9
141,"Rorya DC","Kinyenche",80,115,0,2,0,0,"Built",34.0511829862229,-1.26099901459802,4.866
10,"Bunda TC","Kabasa",9,75,0,2,0,0,"Built",33.7970848957913,-1.97483755904525,4.6
10,"Bunda TC","Kabasa",9,75,0,2,0,0,"Built",33.7984079682196,-1.9725499217724,4.62
10,"Bunda TC","Kabasa",9,75,0,2,0,0,"Built",33.7975879917103,-1.97147559497953,4.5
232,"Rorya DC","Nyamagaro",93,540,0,2,1,0,"Built",33.887381524148,-1.22503380859973,3099.999
17,"Musoma DC","Etaro",15,68,0,2,0,0,"Built",33.7041702179161,-1.50367950815153,4.4
17,"Musoma DC","Etaro",15,68,0,2,1,0,"Built",33.7055901094351,-1.50343690831523,4
17,"Musoma DC","Etaro",15,68,0,2,1,0,"Built",33.7053325528098,-1.50465164387122,5.525
17,"Musoma DC","Etaro",15,68,0,2,1,0,"Built",33.7052993089098,-1.50364046567522,4.6
17,"Musoma DC","Etaro",15,68,0,2,2,1,"Built",33.7047443054247,-1.50375734507994,4.82
17,"Musoma DC","Etaro",15,68,0,2,0,0,"Built",33.7043181802915,-1.50417521542509,5.383
200,"Butiama DC","Buruma",55,287,0,2,0,0,"Built",33.871124764534,-1.71980905314139,4.65
200,"Butiama DC","Buruma",55,287,0,2,0,0,"Built",33.8711283464737,-1.7127968161101,4.687
43,"Bunda TC","Kabasa",9,75,0,2,0,0,"Built",33.7983898162665,-1.97382562930342,4.48
43,"Bunda TC","Kabasa",9,75,0,2,0,0,"Built",33.7967635829934,-1.97349515148505,4.98
43,"Bunda TC","Kabasa",9,75,0,2,0,0,"Built",33.797172158353,-1.97342450010521,4.9
43,"Bunda TC","Kabasa",9,75,0,2,0,0,"Built",33.796806759085,-1.97262335461901,4.95
43,"Bunda TC","Kabasa",9,75,0,2,0,0,"Built",33.7988476397753,-1.97028495727042,4.5
43,"Bunda TC","Kabasa",9,75,0,2,0,0,"Built",33.7987781127194,-1.97025074422198,4.76
43,"Bunda TC","Kabasa",9,75,0,2,0,0,"Built",33.7992566203786,-1.96997272029158,4.533
35,"Tarime DC","Mbogi",30,161,0,2,0,0,"Built",34.572421893265,-1.31610928079705,4.7
35,"Tarime DC","Mbogi",30,161,0,2,0,0,"Built",34.5736801667505,-1.31762336196069,4.1
12,"Bunda DC","Neruma",11,384,0,2,0,0,"Built",33.4986280371139,-2.15845802345541,4.483
64,"Musoma DC","Suguti",44,83,0,2,0,0,"Built",33.64927935412,-1.78821540894397,6.857
64,"Musoma DC","Suguti",44,83,0,2,0,0,"Built",33.6289498119083,-1.78788990163796,4199.999
64,"Musoma DC","Suguti",44,83,0,2,0,0,"Built",33.6289498119083,-1.78788990163796,4199.999
64,"Musoma DC","Suguti",44,83,0,2,0,0,"Built",33.6289498119083,-1.78788990163796,4199.999
64,"Musoma DC","Suguti",44,83,0,2,1,0,"Built",33.6289498119083,-1.78788990163796,4199.999
64,"Musoma DC","Suguti",44,83,0,2,0,0,"Built",33.6305774990638,-1.78746891447438,4099.999
607,"Tarime DC","Kibasuka",18,88,0,2,0,0,"Built",34.4395877934725,-1.41921235285242,6.266
390,"Rorya DC","Nyabirongo",90,497,0,2,1,0,"Built",34.1318258626941,-1.40605608126495,9.8
78,"Rorya DC","Ikoma",56,301,0,2,0,0,"Built",34.3114893641783,-1.1741671362403,4.8
7,"Rorya DC","Kisumwa",7,18,0,2,0,0,"Built",34.1321227762366,-1.40628929202833,6.186
7,"Rorya DC","Kisumwa",7,18,0,2,0,0,"Built",34.1319120723595,-1.40627131511114,9.439
7,"Rorya DC","Kisumwa",7,18,0,2,0,0,"Built",34.1310089787578,-1.40614630847129,8.232
7,"Rorya DC","Kisumwa",7,18,0,2,1,0,"Built",34.1319917277286,-1.40455615553314,8.193
7,"Rorya DC","Kisumwa",7,18,0,2,0,0,"Built",34.1317162820983,-1.40604196090814,9.809
7,"Rorya DC","Kisumwa",7,18,0,2,1,0,"Built",34.1326333567587,-1.40550923991844,9.385
151,"Musoma MC","Nyamatare",2,158,0,2,0,0,"Built",33.7971447487514,-1.51065856031833,4.76
13,"Musoma DC","Makojo",12,19,0,2,0,0,"Built",33.3870369224737,-1.89263037698208,4.9
63,"Bunda DC","Nansimo",47,180,0,2,0,0,"Built",33.3749473248055,-2.15488558483655,3599.999
63,"Bunda DC","Nansimo",47,180,0,2,0,0,"Built",33.3701582508524,-2.15590906101256,3200
63,"Bunda DC","Nansimo",47,180,0,2,0,0,"Built",33.3749473248055,-2.15488558483655,3599.999
63,"Bunda DC","Nansimo",47,82,0,2,0,0,"Built",33.3749473248055,-2.15488558483655,3599.999
608,"Butiama DC","Kyanyari",10,46,0,2,0,0,"Built",33.7835874101739,-1.82555588895964,4.942
161,"Butiama DC","Kyanyari",10,46,0,2,0,0,"Built",33.7845166487459,-1.82530490223402,4.5
14,"Serengeti DC","Maji moto",13,21,0,2,3,0,"Built",34.3594671749051,-1.63172336793451,9.3
62,"Butiama DC","Butiama",46,81,0,2,0,0,"Built",33.9667818650565,-1.76555320482562,4.7
62,"Butiama DC","Butiama",46,81,0,2,0,0,"Built",33.9686468933587,-1.76495560904204,4.8
105,"Butiama DC","Bukabwa",52,210,0,2,0,0,"Built",33.9126592068335,-1.61793125205422,4.9
105,"Butiama DC","Bukabwa",52,210,0,2,1,0,"Built",33.9126224257055,-1.61697061304384,4.68
73,"Butiama DC","Bukabwa",52,210,0,2,0,0,"Built",33.9127716410845,-1.61270549017859,4.75
73,"Butiama DC","Bukabwa",52,541,0,2,0,0,"Built",33.9120061820853,-1.61506807027897,5
73,"Butiama DC","Bukabwa",52,288,0,2,0,0,"Built",33.9116765107108,-1.61486662581314,4.956
73,"Butiama DC","Bukabwa",52,281,0,2,0,0,"Built",33.9113996971695,-1.61451067188764,4.894
73,"Butiama DC","Bukabwa",52,296,0,2,1,0,"Built",33.9110580558835,-1.61531409822981,4.698
87,"Tarime DC","Mwema",50,18,0,2,0,0,"Built",34.3959898841836,-1.26386672257579,6.75
98,"Tarime TC","Ketare",65,189,0,2,0,0,"Built",34.4570262255892,-1.37481081326229,2500
113,"Rorya DC","Nyamuga",70,163,0,2,0,0,"Built",33.7991719823332,-1.50488130966216,2299.999
28,"Bunda DC","Kisorya",24,699,0,2,0,0,"Built",33.2122824845922,-2.10793947909196,4.854
28,"Bunda DC","Kisorya",24,34,0,2,0,0,"Built",33.2123449889926,-2.10705170670669,4.551
28,"Bunda DC","Kisorya",24,34,0,2,0,0,"Built",33.2132303781549,-2.10564556446959,4.854
28,"Bunda DC","Kisorya",24,700,0,2,0,0,"Built",33.2135467480101,-2.10444258343374,4.854
28,"Bunda DC","Kisorya",24,34,0,2,0,0,"Built",33.2140588228973,-2.10616797815895,4.854
28,"Bunda DC","Kisorya",24,34,0,2,0,0,"Built",33.2159042678804,-2.10596055383784,4.854
28,"Bunda DC","Kisorya",24,34,0,2,0,0,"Built",33.2124748771099,-2.10773027223237,4.551
28,"Bunda DC","Kisorya",24,34,0,2,0,0,"Built",33.2123838737068,-2.10883067774545,4.803
28,"Bunda DC","Kisorya",24,34,0,2,0,0,"Built",33.2139185451151,-2.10850249686991,4.551
28,"Bunda DC","Kisorya",24,34,0,2,0,0,"Built",33.2131325207919,-2.10795260929578,4.854
131,"Serengeti DC","Kenyamonta",76,421,0,2,1,0,"Built",34.2900465789279,-1.69946931476982,4.9
142,"Musoma MC","Nyasho",3,204,0,2,0,0,"Built",33.8006669327905,-1.51257289305323,4.36
142,"Musoma MC","Nyasho",3,204,0,2,0,0,"Built",33.800066891579,-1.51476321568308,3.9
142,"Musoma MC","Nyasho",3,204,0,2,0,0,"Built",33.8010198555727,-1.515278789004,3.9
9,"Musoma MC","Nyasho",3,50,0,2,0,0,"Built",33.8010471262644,-1.51601126453912,4.56
9,"Musoma MC","Nyasho",3,50,0,2,0,0,"Built",33.8012963145218,-1.51428578971354,4.92
9,"Musoma MC","Nyasho",3,701,0,2,0,0,"Built",33.8008259845584,-1.51371817741103,4.74
101,"Musoma MC","Kigera",28,41,0,2,0,0,"Built",33.7989387080588,-1.51932312177826,3.9
101,"Musoma MC","Kigera",28,41,0,2,0,0,"Built",33.7988480515696,-1.51945035858772,3.9
85,"Tarime DC","Nyakonga",1,123,0,2,1,0,"Built",34.567286369451,-1.35332689996593,4.2
