"enumrtr","lga","ward","village","subvillage","under_18","HH_size","dogs","puppies","Land.Use","longitude","latitude","precision"
11,"Butiama DC","Kyanyari",10,32,2,4,4,3,"Built",33.7943607966252,-1.82643979481179,4.32
3,"Musoma MC","Nyasho",3,3,2,4,0,0,"Built",33.8058034809315,-1.51194156794032,4.907
9,"Musoma MC","Nyasho",3,3,2,4,0,0,"Built",33.8036203958229,-1.51458510037771,4.96
31,"Bunda DC","Namhula",26,303,2,4,0,0,"Built",33.5446040125725,-2.07036123456163,4.816
31,"Bunda DC","Namhula",26,303,2,4,0,0,"Built",33.5485576528001,-2.06976458535555,4.68
31,"Bunda DC","Namhula",26,303,2,4,0,0,"Built",33.5517972809546,-2.0648026650274,4.9
35,"Tarime DC","Mbogi",30,157,2,4,2,0,"Built",34.5692345727214,-1.31369104352651,4.566
131,"Serengeti DC","Kenyamonta",76,350,2,4,3,0,"Built",34.2905317607499,-1.69951152907357,4.98
43,"Bunda TC","Kabasa",9,14,2,4,0,0,"Built",33.7966023165215,-1.97415549014523,4.966
131,"Serengeti DC","Kenyamonta",76,350,2,4,0,0,"Built",34.2924666371819,-1.69820362625834,4.933
43,"Bunda TC","Kabasa",9,14,2,4,0,0,"Built",33.7940618163852,-1.9748313495147,4.8
131,"Serengeti DC","Kenyamonta",76,350,2,4,1,0,"Built",34.291670831963,-1.69913070791181,4.975
131,"Serengeti DC","Kenyamonta",76,350,2,4,2,0,"Built",34.2898004428309,-1.69855438022425,4.95
131,"Serengeti DC","Kenyamonta",76,351,2,4,2,0,"Built",34.2900708777815,-1.69809168690976,4.933
131,"Serengeti DC","Kenyamonta",76,351,2,4,2,1,"Built",34.2909352357447,-1.69855289866971,4.6
131,"Serengeti DC","Kenyamonta",76,351,2,4,1,0,"Built",34.2907184781469,-1.6988225786389,4.9
131,"Serengeti DC","Kenyamonta",76,351,2,4,1,0,"Built",34.2898405640041,-1.69967072666376,4.933
10,"Bunda TC","Kabasa",9,14,2,4,0,0,"Built",33.7970402475587,-1.97657868922581,4.9
10,"Bunda TC","Kabasa",9,14,2,4,0,0,"Built",33.7992155258793,-1.9757502291829,4.66
10,"Bunda TC","Kabasa",9,14,2,4,1,0,"Built",33.7978211193543,-1.97582680004027,4.716
10,"Bunda TC","Kabasa",9,14,2,4,0,0,"Built",33.7975880333045,-1.97528491152891,4.666
10,"Bunda TC","Kabasa",9,14,2,4,0,0,"Built",33.7976084832128,-1.97402211454491,4.98
10,"Bunda TC","Kabasa",9,14,2,4,0,0,"Built",33.7968699394068,-1.97522493874904,4.8
10,"Bunda TC","Kabasa",9,14,2,4,0,0,"Built",33.7985570479991,-1.97415124697032,4.58
10,"Bunda TC","Kabasa",9,14,2,4,1,0,"Built",33.7983208075853,-1.97513637235413,4.94
10,"Bunda TC","Kabasa",9,14,2,4,0,0,"Built",33.7966499080813,-1.97489767010264,4.983
10,"Bunda TC","Kabasa",9,14,2,4,0,0,"Built",33.7958555631287,-1.97594287222805,5
10,"Bunda TC","Kabasa",9,14,2,4,0,0,"Built",33.7956503051079,-1.97700540949393,4.8
10,"Bunda TC","Kabasa",9,14,2,4,1,1,"Built",33.7962242870512,-1.97903450520323,4.866
181,"Musoma MC","Nyamatare",2,158,2,4,0,0,"Built",33.795045996953,-1.50891030780332,4.775
181,"Musoma MC","Nyamatare",2,158,2,4,0,0,"Built",33.7963448072893,-1.51058252917725,4.56
181,"Musoma MC","Nyamatare",2,158,2,4,0,0,"Built",33.7961133797105,-1.5095769420739,4.875
404,"Musoma MC","Nyamatare",2,631,2,4,0,0,"Built",33.7958299774235,-1.51123419361468,4.48
5,"Serengeti DC","Geitasamo",5,7,2,4,1,0,"Built",34.6441892739188,-1.79941698703596,4.916
